2015 GEOID,State,2015 Geography Name,Note,2010 Census Total Population,2010 Census Urban Population,2010 Census Rural Population,"2010 Census 
Percent Rural",STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
01021,AL,"Chilton County, Alabama",,43643.0,5785.0,37858.0,86.74472423985519,01,021,00161536,0500000US01021,01021,Chilton,06,1794477075,20592144,"POLYGON ((-87.01915699999999 32.837033999999996, -86.87611799999999 32.836264, -86.881182 33.049901, -86.881638 33.071861, -86.61000299999999 33.070003, -86.517344 33.020565999999995, -86.515959 32.929361, -86.45152399999999 32.863692, -86.457015 32.813899, -86.374974 32.75358, -86.41333499999999 32.750591, -86.413116 32.707386, -86.714219 32.705694, -86.71338999999999 32.661732, -86.91759499999999 32.664169, -87.01765999999999 32.663269, -87.01776199999999 32.729532, -87.01915699999999 32.837033999999996))"
01023,AL,"Choctaw County, Alabama",,13859.0,0.0,13859.0,100.0,01,023,00161537,0500000US01023,01023,Choctaw,06,2365869835,19144469,"POLYGON ((-88.4686624840513 31.893855711615597, -88.46866 31.933173, -88.45338776310929 32.053049205419704, -88.4311453634628 32.227636234688894, -88.42827799999999 32.250143, -88.4213122213943 32.308679123011295, -87.930661 32.310573999999995, -88.019145 32.28524, -88.007077 32.185313, -88.113584 32.00624, -88.07348999999999 31.990181999999997, -88.121414 31.950256, -88.18038399999999 31.814546, -88.08828799999999 31.699302999999997, -88.4636253046849 31.697942371350198, -88.46866899999999 31.790722, -88.4686624840513 31.893855711615597))"
01025,AL,"Clarke County, Alabama",,25833.0,6205.0,19628.0,75.980335230132,01,025,00161538,0500000US01025,01025,Clarke,06,3207494111,36657891,"POLYGON ((-88.121414 31.950256, -88.07348999999999 31.990181999999997, -87.66776899999999 31.991355, -87.66683599999999 31.875746999999997, -87.62011199999999 31.827123, -87.50093 31.829251, -87.516131 31.697823999999997, -87.566841 31.697115, -87.56541299999999 31.553573, -87.619844 31.519049, -87.57373299999999 31.435087999999997, -87.665572 31.423166, -87.784796 31.324672, -87.765152 31.297345999999997, -87.804023 31.319017, -87.83592 31.231053, -87.94658799999999 31.192929999999997, -87.95961899999999 31.316205999999998, -87.908068 31.323041, -87.88729 31.392197, -87.93510599999999 31.442397999999997, -87.906143 31.491751999999998, -87.92443999999999 31.503020999999997, -87.942514 31.526719, -87.970377 31.530545999999998, -88.031277 31.560494, -88.027693 31.584251, -88.05144899999999 31.583503999999998, -88.072234 31.5945, -88.089388 31.658746999999998, -88.078711 31.669618, -88.08828799999999 31.699302999999997, -88.18038399999999 31.814546, -88.121414 31.950256))"
01027,AL,"Clay County, Alabama",,13932.0,0.0,13932.0,100.0,01,027,00161539,0500000US01027,01027,Clay,06,1564251835,5285207,"POLYGON ((-86.17282999999999 33.195681, -86.120567 33.194511, -86.11819799999999 33.29632, -85.980293 33.29419, -85.976525 33.38187, -85.923762 33.396206, -85.90490899999999 33.498655, -85.85189 33.498742, -85.887782 33.469426999999996, -85.782735 33.469349, -85.765427 33.498593, -85.64348199999999 33.495885, -85.64112899999999 33.320501, -85.653654 33.106634, -85.97471499999999 33.105286, -86.00917 33.09026, -86.010919 33.104636, -86.17437 33.104394, -86.17282999999999 33.195681))"
01029,AL,"Cleburne County, Alabama",,14972.0,0.0,14972.0,100.0,01,029,00161540,0500000US01029,01029,Cleburne,06,1450663940,2354896,"POLYGON ((-85.85189 33.498742, -85.805241 33.535188999999995, -85.796054 33.556219999999996, -85.65581 33.627165999999995, -85.638049 33.773339, -85.53009399999999 33.941423, -85.495289 33.95691, -85.398871 33.964127999999995, -85.38667057377279 33.9017014940033, -85.36053199999999 33.767956999999996, -85.3381162999059 33.65311439160139, -85.314048 33.529804999999996, -85.3049438332249 33.482756336845505, -85.34774399999999 33.501377999999995, -85.64348199999999 33.495885, -85.765427 33.498593, -85.782735 33.469349, -85.887782 33.469426999999996, -85.85189 33.498742))"
01031,AL,"Coffee County, Alabama",,49948.0,26375.0,23573.0,47.195082886201654,01,031,00161541,0500000US01031,01031,Coffee,06,1758565925,3907189,"POLYGON ((-86.193951 31.440071999999997, -86.194784 31.529949, -86.14394999999999 31.537675, -86.145895 31.617741, -85.789142 31.617963999999997, -85.79140199999999 31.196348999999998, -86.125405 31.182057, -86.19347599999999 31.192213, -86.196091 31.410348, -86.193951 31.440071999999997))"
01033,AL,"Colbert County, Alabama",,54428.0,30537.0,23891.0,43.89468655838906,01,033,00161542,0500000US01033,01033,Colbert,06,1535202321,79700277,"POLYGON ((-88.13426299999999 34.622659999999996, -88.097888 34.892202, -87.97322199999999 34.88255, -87.92029 34.804468, -87.806963 34.732061, -87.524363 34.832384, -87.42651 34.800022, -87.445009 34.652727999999996, -87.52966699999999 34.567081, -88.13955944124739 34.5816967458839, -88.13426299999999 34.622659999999996))"
01035,AL,"Conecuh County, Alabama",,13228.0,2520.0,10708.0,80.94950105836105,01,035,00161543,0500000US01035,01035,Conecuh,06,2202007854,6632046,"POLYGON ((-87.166581 31.519561, -87.13505099999999 31.642417, -87.0511 31.718339999999998, -86.90589899999999 31.753034999999997, -86.906769 31.632671, -86.83938599999999 31.525204, -86.701554 31.523946, -86.662082 31.402797999999997, -86.702446 31.345397, -86.700282 31.192217, -86.772519 31.202243, -86.763961 31.261293, -87.427455 31.260385999999997, -87.166581 31.519561))"
01037,AL,"Coosa County, Alabama",,11539.0,0.0,11539.0,100.0,01,037,00161544,0500000US01037,01037,Coosa,06,1685850815,39987271,"POLYGON ((-86.517344 33.020565999999995, -86.51114199999999 33.088431, -86.491029 33.102944, -86.17437 33.104394, -86.010919 33.104636, -86.00917 33.09026, -86.013491 32.819203, -86.007187 32.754984, -86.31948 32.753698, -86.336694 32.76813, -86.374974 32.75358, -86.457015 32.813899, -86.45152399999999 32.863692, -86.515959 32.929361, -86.517344 33.020565999999995))"
01039,AL,"Covington County, Alabama",,37765.0,11461.0,26304.0,69.65179398914339,01,039,00161545,0500000US01039,01039,Covington,06,2669129020,34231390,"POLYGON ((-86.702446 31.345397, -86.662082 31.402797999999997, -86.701554 31.523946, -86.499213 31.525330999999998, -86.39994 31.527127999999998, -86.398536 31.451324999999997, -86.280155 31.528509999999997, -86.277031 31.455602, -86.193951 31.440071999999997, -86.196091 31.410348, -86.19347599999999 31.192213, -86.190559 31.01363, -86.1872480489813 30.9940667234622, -86.36497399999999 30.994436999999998, -86.3886446620004 30.9945282152752, -86.56349399999999 30.995202, -86.68824096424609 30.996201890001498, -86.700251 31.008900999999998, -86.700282 31.192217, -86.702446 31.345397))"
01041,AL,"Crenshaw County, Alabama",,13906.0,0.0,13906.0,100.0,01,041,00161546,0500000US01041,01041,Crenshaw,06,1576952799,5388561,"POLYGON ((-86.499533 31.655247, -86.448635 31.655617, -86.44819799999999 31.964629, -86.405005 31.963775, -86.40627599999999 32.050731, -86.30361599999999 32.051663999999995, -86.302217 31.965065, -86.191379 31.966452999999998, -86.199378 31.79045, -86.14833899999999 31.790951, -86.14714699999999 31.663149999999998, -86.179672 31.616414, -86.145895 31.617741, -86.14394999999999 31.537675, -86.194784 31.529949, -86.193951 31.440071999999997, -86.277031 31.455602, -86.280155 31.528509999999997, -86.398536 31.451324999999997, -86.39994 31.527127999999998, -86.499213 31.525330999999998, -86.499533 31.655247))"
01043,AL,"Cullman County, Alabama",,80406.0,21517.0,58889.0,73.23955923687288,01,043,00161547,0500000US01043,01043,Cullman,06,1903073019,52422496,"POLYGON ((-87.111992 33.992385, -87.109911 34.299299, -87.11011099999999 34.313798999999996, -86.581936 34.304694, -86.477525 34.302758, -86.45302 34.259316999999996, -86.51892699999999 34.252320999999995, -86.56385 34.170493, -86.601147 34.11904, -86.692061 34.092653999999996, -86.68536499999999 34.05914, -86.793914 33.952059, -86.924387 33.909222, -86.963358 33.858221, -87.091836 33.890093, -87.15103599999999 33.993224999999995, -87.111992 33.992385))"
01045,AL,"Dale County, Alabama",,50251.0,24679.0,25572.0,50.888539531551615,01,045,00161548,0500000US01045,01045,Dale,06,1453244553,4082940,"POLYGON ((-85.789142 31.617963999999997, -85.748251 31.618047999999998, -85.467038 31.620566, -85.416437 31.619466, -85.417434 31.314973, -85.48585399999999 31.246095999999998, -85.66612099999999 31.267315999999997, -85.71033299999999 31.195172999999997, -85.79140199999999 31.196348999999998, -85.789142 31.617963999999997))"
01047,AL,"Dallas County, Alabama",,43820.0,23821.0,19999.0,45.638977635782744,01,047,00161549,0500000US01047,01047,Dallas,06,2534919599,39124778,"POLYGON ((-87.47308 32.307614, -87.42174399999999 32.308101, -87.423153 32.482965, -87.110817 32.489948, -87.01776199999999 32.729532, -87.01765999999999 32.663269, -86.91759499999999 32.664169, -86.906403 32.536712, -86.81491199999999 32.340803, -86.864367 32.274918, -86.810313 32.224747, -86.90830199999999 32.225028, -86.906956 32.04797, -87.17786 32.047514, -87.324783 32.199069, -87.472206 32.264919, -87.47308 32.307614))"
01049,AL,"DeKalb County, Alabama",,71109.0,7018.0,64091.0,90.13064450350869,01,049,00161550,0500000US01049,01049,DeKalb,06,2012676479,4121543,"POLYGON ((-86.118894 34.403845, -86.057712 34.475994, -86.015594 34.481639, -85.785471 34.624584, -85.58281233378528 34.8604354744776, -85.561424 34.750079, -85.5344052578154 34.623790338435796, -85.52689481816101 34.5886856927335, -85.51304422927329 34.5239464713237, -85.559282 34.502255, -85.627512 34.39592, -85.774165 34.259094, -85.843801 34.244595, -85.843617 34.200006, -86.10608599999999 34.200756, -86.118894 34.403845))"
01051,AL,"Elmore County, Alabama",,79303.0,36330.0,42973.0,54.188366139994706,01,051,00161551,0500000US01051,01051,Elmore,06,1601769095,99957723,"POLYGON ((-86.41333499999999 32.750591, -86.374974 32.75358, -86.336694 32.76813, -86.31948 32.753698, -86.007187 32.754984, -85.87986 32.754528, -85.88614799999999 32.493052999999996, -85.85262499999999 32.475747, -86.023012 32.419978, -86.046402 32.406146, -86.192284 32.43613, -86.262006 32.501689999999996, -86.411172 32.409937, -86.413116 32.707386, -86.41333499999999 32.750591))"
01053,AL,"Escambia County, Alabama",,38319.0,13982.0,24337.0,63.5115738928469,01,053,00161552,0500000US01053,01053,Escambia,06,2448115119,20504948,"POLYGON ((-87.61589 31.244457999999998, -87.559287 31.227290999999997, -87.427455 31.260385999999997, -86.763961 31.261293, -86.772519 31.202243, -86.700282 31.192217, -86.700251 31.008900999999998, -86.68824096424609 30.996201890001498, -86.7856919760059 30.9969829935168, -86.83197899999999 30.997353999999998, -86.92785099999999 30.997677999999997, -87.162644 30.999025999999997, -87.163645308459 30.999021835748003, -87.31220599999999 30.998403999999997, -87.42579099999999 30.998058, -87.519533 30.997552, -87.5988289462621 30.9974221769053, -87.61552999999999 31.007724, -87.61589 31.244457999999998))"
01055,AL,"Etowah County, Alabama",,104430.0,65286.0,39144.0,37.48348175811548,01,055,00161553,0500000US01055,01055,Etowah,06,1386373604,34568854,"POLYGON ((-86.332394 34.040499, -86.303516 34.099073, -86.206107 34.17265, -86.1089 34.186310999999996, -86.10608599999999 34.200756, -85.843617 34.200006, -85.841365 34.110695, -85.797071 34.100179, -85.738975 33.96846, -85.740968 33.935300999999995, -85.84617399999999 33.95726, -85.96916999999999 33.914598, -85.99516899999999 33.864897, -86.021271 33.851498, -86.065272 33.842197999999996, -86.14271699999999 33.899391, -86.199164 33.988918, -86.290127 33.983719, -86.325622 33.940146999999996, -86.37015199999999 33.939769999999996, -86.332394 34.040499))"
01057,AL,"Fayette County, Alabama",,17241.0,3408.0,13833.0,80.23316512963285,01,057,00161554,0500000US01057,01057,Fayette,06,1625693290,4330881,"POLYGON ((-87.951785 33.91993, -87.739347 33.914730999999996, -87.635932 33.915251, -87.63604 33.871998999999995, -87.53160199999999 33.867618, -87.52833799999999 33.692049, -87.42384299999999 33.689112, -87.423701 33.602095999999996, -87.63171799999999 33.609833, -87.66666099999999 33.521667, -87.840683 33.524839, -87.946519 33.524065, -87.951785 33.91993))"
01059,AL,"Franklin County, Alabama",,31704.0,9395.0,22309.0,70.36651526621247,01,059,00161555,0500000US01059,01059,Franklin,06,1641841406,32643981,"POLYGON ((-88.15490218400869 34.46303430044, -88.13955944124739 34.5816967458839, -87.52966699999999 34.567081, -87.52972199999999 34.304598, -87.634725 34.306996999999996, -88.1732617345949 34.3210395343343, -88.15490218400869 34.46303430044))"
01061,AL,"Geneva County, Alabama",,26790.0,2775.0,24015.0,89.64165733482643,01,061,00161556,0500000US01061,01061,Geneva,06,1487897666,11578163,"POLYGON ((-86.19347599999999 31.192213, -86.125405 31.182057, -85.79140199999999 31.196348999999998, -85.71033299999999 31.195172999999997, -85.48576 31.199886, -85.4882982889391 30.9979646232873, -85.4980015850895 30.997865049361398, -85.57949757633828 30.9970287484109, -85.749715 30.995282, -85.893632 30.993454999999997, -86.0350381049506 30.9937496073023, -86.1872480489813 30.9940667234622, -86.190559 31.01363, -86.19347599999999 31.192213))"
01063,AL,"Greene County, Alabama",,9045.0,0.0,9045.0,100.0,01,063,00161557,0500000US01063,01063,Greene,06,1675782061,33416141,"POLYGON ((-88.17532899999999 32.932093, -88.171852 32.99586, -88.149395 33.037298, -87.96834799999999 33.078235, -87.837521 33.153636999999996, -87.838047 33.136863999999996, -87.831459 33.093857, -87.832233 33.017258, -87.71570899999999 33.006824, -87.729941 32.949258, -87.80421799999999 32.897523, -87.831749 32.840505, -87.813178 32.810176, -87.870464 32.762442, -87.808284 32.752372, -87.813401 32.633874999999996, -87.73692799999999 32.589689, -87.787701 32.582288999999996, -87.812559 32.52456, -87.82497699999999 32.544789, -87.85342 32.532086, -87.898355 32.592321, -87.840858 32.605036, -87.92868899999999 32.632284, -88.05372899999999 32.593052, -88.132685 32.832853, -88.20731599999999 32.924782, -88.17532899999999 32.932093))"
01065,AL,"Hale County, Alabama",,15760.0,1707.0,14053.0,89.16878172588832,01,065,00161558,0500000US01065,01065,Hale,06,1667907112,32423361,"POLYGON ((-87.813178 32.810176, -87.831749 32.840505, -87.80421799999999 32.897523, -87.729941 32.949258, -87.71570899999999 33.006824, -87.421936 33.003378999999995, -87.4212 32.874508, -87.472174 32.830619999999996, -87.47391499999999 32.655867, -87.52519799999999 32.655713, -87.524485 32.482028, -87.72874399999999 32.480917999999996, -87.728521 32.524532, -87.812559 32.52456, -87.787701 32.582288999999996, -87.73692799999999 32.589689, -87.813401 32.633874999999996, -87.808284 32.752372, -87.870464 32.762442, -87.813178 32.810176))"
01067,AL,"Henry County, Alabama",,17302.0,2119.0,15183.0,87.75286094093168,01,067,00161559,0500000US01067,01067,Henry,06,1454926621,16986823,"POLYGON ((-85.416437 31.619466, -85.416038 31.706664, -85.216076 31.702409, -85.1254405773425 31.7629687034183, -85.11892999999999 31.732664, -85.12553 31.694965, -85.05816899999999 31.620227, -85.05796 31.570839999999997, -85.04188099999999 31.544684, -85.0516814295062 31.519540329141698, -85.071621 31.468383999999997, -85.06600499999999 31.431362999999997, -85.09248699999999 31.362880999999998, -85.087929 31.321648, -85.08882996353049 31.308647755496597, -85.179131 31.307675, -85.417434 31.314973, -85.416437 31.619466))"
01069,AL,"Houston County, Alabama",,101547.0,67220.0,34327.0,33.80405132598698,01,069,00161560,0500000US01069,01069,Houston,06,1501854593,4683050,"POLYGON ((-85.66612099999999 31.267315999999997, -85.48585399999999 31.246095999999998, -85.417434 31.314973, -85.179131 31.307675, -85.08882996353049 31.308647755496597, -85.08977399999999 31.295026, -85.108192 31.258591, -85.10751599999999 31.186450999999998, -85.03561499999999 31.108192, -85.0211075623628 31.0754638723064, -85.011392 31.053545999999997, -85.002499 31.000681999999998, -85.031285 31.000646999999997, -85.14595899999999 31.000693, -85.333319 30.999554999999997, -85.4882982889391 30.9979646232873, -85.48576 31.199886, -85.71033299999999 31.195172999999997, -85.66612099999999 31.267315999999997))"
01071,AL,"Jackson County, Alabama",,53227.0,12233.0,40994.0,77.0173032483514,01,071,00161561,0500000US01071,01071,Jackson,06,2791974056,126334709,"POLYGON ((-86.359034 34.63261, -86.325569 34.937323, -86.256968 34.937774999999995, -86.311274 34.991098, -85.8639461118069 34.9870308587481, -85.605165 34.984677999999995, -85.595165 34.924171, -85.58281233378528 34.8604354744776, -85.785471 34.624584, -86.015594 34.481639, -86.057712 34.475994, -86.087628 34.466558, -86.097741 34.512547, -86.14846399999999 34.599069, -86.326853 34.599402999999995, -86.359034 34.63261))"
01073,AL,"Jefferson County, Alabama",1.0,658472.0,593714.0,64752.0,9.833675539734415,01,073,00161562,0500000US01073,01073,Jefferson,06,2878465205,32885044,"POLYGON ((-87.26692299999999 33.512929, -87.271586 33.52942, -87.185794 33.555882, -87.17943 33.613794, -87.057757 33.656363, -87.00596499999999 33.787237, -86.95366399999999 33.815297, -86.88394699999999 33.843237, -86.75921199999999 33.840592, -86.64529 33.773012, -86.577799 33.765316, -86.54275799999999 33.765173, -86.51678299999999 33.545896, -86.51719899999999 33.524136, -86.674418 33.466521, -86.830597 33.332015, -86.88251799999999 33.332687, -86.97836 33.256222, -87.02684599999999 33.246459, -87.065738 33.246907, -87.065754 33.275937, -87.179754 33.32801, -87.194841 33.343069, -87.341698 33.470501, -87.26692299999999 33.512929))"
01075,AL,"Lamar County, Alabama",,14564.0,0.0,14564.0,100.0,01,075,00161563,0500000US01075,01075,Lamar,06,1566544637,1600679,"POLYGON ((-88.25444499999999 33.698779, -88.24838747390949 33.744907594881695, -88.207229 34.058333, -87.98693 34.052102, -87.95192899999999 34.022202, -87.951785 33.91993, -87.946519 33.524065, -88.2745164707837 33.534001477785196, -88.25444499999999 33.698779))"
01077,AL,"Lauderdale County, Alabama",,92709.0,47008.0,45701.0,49.2951061924948,01,077,00161564,0500000US01077,01077,Lauderdale,06,1730146083,133608930,"POLYGON ((-88.20295899999999 35.008027999999996, -88.00003199999999 35.005939, -87.9849160436989 35.0059101243258, -87.851886 35.005656, -87.625025 35.003732, -87.60609786765329 35.0035195262043, -87.2240536418757 34.9992307419721, -87.21668299999999 34.999148, -87.2107585799823 34.9990491809997, -87.214914 34.816010999999996, -87.278302 34.773562999999996, -87.26067599999999 34.758626, -87.297905 34.750811999999996, -87.344224 34.796493, -87.42651 34.800022, -87.524363 34.832384, -87.806963 34.732061, -87.92029 34.804468, -87.97322199999999 34.88255, -88.097888 34.892202, -88.154617 34.922391999999995, -88.200064 34.995633999999995, -88.20295899999999 35.008027999999996))"
01079,AL,"Lawrence County, Alabama",,34339.0,2991.0,31348.0,91.28978712251376,01,079,00161565,0500000US01079,01079,Lawrence,06,1788864247,68682382,"POLYGON ((-87.52966699999999 34.567081, -87.445009 34.652727999999996, -87.42651 34.800022, -87.344224 34.796493, -87.297905 34.750811999999996, -87.26067599999999 34.758626, -87.22277299999999 34.763225999999996, -87.10507299999999 34.686037, -87.11011099999999 34.313798999999996, -87.109911 34.299299, -87.52972199999999 34.304598, -87.52966699999999 34.567081))"
01081,AL,"Lee County, Alabama",1.0,140251.0,101806.0,38441.0,27.408717228397663,01,081,00161566,0500000US01081,01081,Lee,06,1573548952,21492291,"POLYGON ((-85.696755 32.697429, -85.67985399999999 32.71253, -85.59315099999999 32.72853, -85.57495399999999 32.736346999999995, -85.285043 32.730731, -85.1245332227506 32.7516296067514, -85.11425 32.730447, -85.088533 32.657958, -85.0760723726048 32.6080674751571, -85.069848 32.583146, -85.00710000000001 32.523868, -85.00113083912369 32.5101547883978, -85.059294 32.472909, -85.333843 32.468638999999996, -85.33014299999999 32.410841999999995, -85.434045 32.409839999999996, -85.438575 32.49709, -85.48934799999999 32.496936999999996, -85.695854 32.595932999999995, -85.696755 32.697429))"
01083,AL,"Limestone County, Alabama",,82782.0,35092.0,47690.0,57.60914208402793,01,083,00161567,0500000US01083,01083,Limestone,06,1450277885,122329729,"POLYGON ((-87.278302 34.773562999999996, -87.214914 34.816010999999996, -87.2107585799823 34.9990491809997, -86.83628631594951 34.992803004217, -86.783648 34.991925, -86.78362801716901 34.991924921992, -86.79005599999999 34.55079, -86.83819 34.556534, -87.10507299999999 34.686037, -87.22277299999999 34.763225999999996, -87.26067599999999 34.758626, -87.278302 34.773562999999996))"
